io,name
B3:0/0,FS1
B3:0/1,SV1
B3:0/2,SV2
B3:0/4,SV4
B3:0/5,SV5
B3:0/6,SV6
B3:0/7,P1
B3:0/8,SV1_OFF_PB
B3:0/9,SV1_HAND_PB
B3:0/10,SV1_AUTO_PB
B3:0/11,SV2_OFF_PB
B3:0/12,SV2_HAND_PB
B3:0/13,SV2_AUTO_PB
B3:0/14,SV3_OFF_PB
B3:0/15,SV3_HAND_PB
B3:1/0,SV3_AUTO_PB
B3:1/1,SV4_OFF_PB
B3:1/2,SV4_HAND_PB
B3:1/3,SV4_AUTO_PB
B3:1/4,SV5_OFF_PB
B3:1/5,SV5_HAND_PB
B3:1/6,SV5_AUTO_PB
B3:1/7,SV6_OFF_PB
B3:1/8,SV6_HAND_PB
B3:1/9,SV6_AUTO_PB
B3:1/10,P1_OFF_PB
B3:1/11,P1_HAND_PB
B3:1/12,P1_AUTO_PB
B3:3/2,SYS_STOP_PB
B3:3/3,SYS_START_PB
B3:3/8,SYS_RUNNING
B3:3/9,ALARM_RESET
B3:3/10,ALARM_SILENCE
B3:4/5,BACKWASH_PENDING
B3:4/6,BACKWASH_RUNNING
B3:4/8,PRES_HH_ALARM
B3:4/10,LOW_FLOW_ALARM
B3:4/12,LEVEL_LL_ALARM
B3:4/14,LEVEL_HH_ALARM
B3:5/6,FLOW_ALM_PB
B3:5/14,MAN_BW_PB
B3:5/15,BACKWASH_LOCKOUT
B3:6/0,BW_LOCKOUT_PB
B3:6/1,BW_ENABLE_PB
B3:6/3,RESET_BW_COUNT_PB
B3:6/7,LOG_BW_DATA
B3:6/9,RESET_HOURMETER_PB
F8:0,PT1_SV
F8:1,PT2_SV
F8:2,LT1_SV
F8:3,DIFF_PRES
F8:4,BACKWASH_SP
F8:5,PRESSURE_HH_SP
F8:6,LEVEL_LL_SP
F8:7,LEVEL_HH_SP
F8:8,LEVEL_L_SP
F8:9,LEVEL_H_SP
N7:0,SV1_STATUS
N7:1,SV2_STATUS
N7:2,SV3_STATUS
N7:3,SV4_STATUS
N7:4,SV5_STATUS
N7:5,SV6_STATUS
N7:6,P1_STATUS
N7:7,BW_TIME_LEFT
N7:8,BACKWASH_COUNT
N7:9,HOURMETER_SECS
N7:10,HOURMETER_MINS
N7:11,HOURMETER_HRS
N7:12,HOURMETER_KHRS
B3:5/13,ALL_AUTO
B3:0/3,SV3
